;CO_TAZID,Index,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,SEC_HOME,CABIN,CONDO,HOTEL,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,Sub_Area,CO_FIPS,CO_NAME,DISTLRG,DLRG_NAME,DISTMED,DMED_NAME,DISTSML,DSML_NAME,CITY_NAME
13001,1,127.0,503.5,3.96,0.0,0.0,0.0,0.0,27.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,0.0,9.2,7.9,0,0,0,0,69968,0,0,0,0,13,DUCHESNE,1,Northeast Duschene County,1,Roosevelt Area,199,Roosevelt,Roosevelt
13002,2,520.9,1441.0,2.77,722.3,196.5,21.9,504.0,915.1,58.1,138.3,10.0,11.9,165.5,161.5,9.0,168.1,0.0,111.7,48.8,32.2,0,0,0,0,59531,310,0,0,0,13,DUCHESNE,1,Northeast Duschene County,1,Roosevelt Area,199,Roosevelt,Roosevelt
13003,3,247.2,822.7,3.33,64.4,20.5,42.8,1.1,123.6,0.0,20.5,0.0,42.8,0.0,0.0,1.1,0.0,10.7,11.8,21.4,15.3,0,0,0,0,78894,0,0,0,0,13,DUCHESNE,1,Northeast Duschene County,1,Roosevelt Area,199,Roosevelt,Roosevelt
13004,4,67.9,240.7,3.54,476.7,0.0,0.0,476.7,501.9,0.0,0.0,0.0,0.0,0.0,184.1,292.7,0.0,10.7,1.1,9.2,4.2,0,0,0,0,78894,511,0,0,0,13,DUCHESNE,1,Northeast Duschene County,1,Roosevelt Area,199,Roosevelt,Roosevelt
13005,5,232.4,908.3,3.91,505.1,98.4,45.2,361.5,554.6,71.0,27.4,0.0,45.2,93.5,168.6,9.2,90.1,10.7,0.0,24.4,14.4,0,0,0,0,78534,0,0,0,0,13,DUCHESNE,1,Northeast Duschene County,1,Roosevelt Area,199,Roosevelt,Roosevelt
13006,6,36.4,85.6,2.35,849.2,91.6,49.1,708.5,874.4,64.2,27.4,12.4,36.7,12.1,333.1,2.2,361.1,10.7,0.0,12.2,2.3,0,0,0,0,63604,0,905,0,0,13,DUCHESNE,1,Northeast Duschene County,1,Roosevelt Area,199,Roosevelt,Roosevelt
13007,7,250.1,665.6,2.66,470.7,114.7,2.5,353.5,524.6,114.7,0.0,0.0,2.5,56.8,196.5,38.0,62.3,10.7,3.2,24.4,15.5,0,0,0,0,67177,0,0,0,0,13,DUCHESNE,1,Northeast Duschene County,1,Roosevelt Area,199,Roosevelt,Roosevelt
13008,8,391.0,1105.7,2.83,1153.1,347.3,53.9,751.9,1231.9,241.8,105.4,2.0,51.9,75.9,342.6,23.8,309.5,10.7,1.1,42.7,24.2,0,0,0,0,38484,0,0,0,0,13,DUCHESNE,1,Northeast Duschene County,1,Roosevelt Area,199,Roosevelt,Roosevelt
13009,9,51.2,175.2,3.42,187.0,1.4,81.5,104.0,382.1,1.4,0.0,0.0,81.5,0.0,0.0,0.0,104.0,10.7,175.1,6.1,3.2,0,0,0,0,69968,0,0,0,0,13,DUCHESNE,1,Northeast Duschene County,1,Roosevelt Area,199,Roosevelt,Roosevelt
13010,10,83.7,267.9,3.20,237.7,58.0,82.5,97.3,344.5,58.0,0.0,0.0,82.5,1.5,24.3,0.0,71.5,10.7,81.7,9.2,5.2,0,0,0,0,69968,0,0,0,0,13,DUCHESNE,1,Northeast Duschene County,1,Roosevelt Area,199,Roosevelt,Roosevelt
13011,11,59.1,138.0,2.33,315.5,266.7,0.0,48.8,339.1,212.2,54.5,0.0,0.0,0.0,4.7,23.0,21.0,10.7,0.0,9.2,3.7,0,0,0,0,48261,0,0,0,0,13,DUCHESNE,1,Northeast Duschene County,1,Roosevelt Area,199,Roosevelt,Roosevelt
13012,12,95.5,450.1,4.71,127.7,21.6,71.2,34.9,221.1,21.6,0.0,0.0,71.2,0.0,0.0,3.4,31.5,10.7,67.7,9.2,5.9,0,0,0,0,69968,0,0,0,0,13,DUCHESNE,1,Northeast Duschene County,1,Roosevelt Area,199,Roosevelt,Roosevelt
13013,13,266.9,816.7,3.06,241.5,0.0,2.4,239.1,294.2,0.0,0.0,0.0,2.4,0.0,235.6,0.0,3.5,10.7,1.1,24.4,16.5,0,0,0,0,69968,535,0,0,0,13,DUCHESNE,1,Northeast Duschene County,1,Roosevelt Area,199,Roosevelt,Roosevelt
13014,14,14.8,53.4,3.61,0.5,0.0,0.0,0.5,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,5.4,0.0,0.0,0.9,0,0,0,0,69968,0,0,0,0,13,DUCHESNE,1,Northeast Duschene County,1,Roosevelt Area,199,Roosevelt,Roosevelt
13015,15,101.4,317.2,3.13,68.0,0.0,58.6,9.4,151.2,0.0,0.0,58.6,0.0,1.5,0.0,0.9,7.1,10.7,57.0,9.2,6.3,0,0,0,0,71193,0,0,0,0,13,DUCHESNE,1,Northeast Duschene County,1,Roosevelt Area,168,Roosevelt Area,Balance of Duchesne
13016,16,88.6,300.1,3.39,0.0,0.0,0.0,0.0,82.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.4,49.4,6.1,5.5,0,0,0,0,71193,0,0,0,0,13,DUCHESNE,1,Northeast Duschene County,1,Roosevelt Area,168,Roosevelt Area,Balance of Duchesne
13017,17,14.8,40.3,2.73,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0,0,0,0,71193,0,0,0,0,13,DUCHESNE,1,Northeast Duschene County,1,Roosevelt Area,168,Roosevelt Area,Balance of Duchesne
13018,18,27.6,108.8,3.94,1.1,0.0,1.1,0.0,19.8,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,5.4,8.6,3.1,1.7,0,0,0,0,71193,0,0,0,0,13,DUCHESNE,1,Northeast Duschene County,1,Roosevelt Area,168,Roosevelt Area,Balance of Duchesne
13019,19,67.9,141.0,2.07,0.5,0.0,0.0,0.5,32.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,21.4,0.0,6.1,4.2,0,0,0,0,71193,0,0,0,0,13,DUCHESNE,1,Northeast Duschene County,1,Roosevelt Area,168,Roosevelt Area,Balance of Duchesne
13020,20,13.8,51.4,3.72,0.0,0.0,0.0,0.0,34.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.1,1.1,0.0,0.9,0,0,0,0,71193,0,0,0,0,13,DUCHESNE,1,Northeast Duschene County,1,Roosevelt Area,168,Roosevelt Area,Balance of Duchesne
13021,21,21.7,83.6,3.86,0.0,0.0,0.0,0.0,40.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.4,15.0,3.1,1.3,0,0,0,0,71193,0,0,0,0,13,DUCHESNE,1,Northeast Duschene County,1,Roosevelt Area,168,Roosevelt Area,Balance of Duchesne
13022,22,55.1,147.0,2.67,0.0,0.0,0.0,0.0,35.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.4,7.5,3.1,3.4,0,0,0,0,71193,149,0,0,0,13,DUCHESNE,1,Northeast Duschene County,1,Roosevelt Area,168,Roosevelt Area,Balance of Duchesne
13023,23,2.0,6.0,3.07,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0,0,0,0,71193,0,0,0,0,13,DUCHESNE,1,Northeast Duschene County,1,Roosevelt Area,168,Roosevelt Area,Balance of Duchesne
13024,24,66.0,164.1,2.49,14.4,0.0,14.4,0.0,52.5,0.0,0.0,0.0,14.4,0.0,0.0,0.0,0.0,21.5,6.5,6.1,4.1,0,0,0,0,71193,0,0,0,0,13,DUCHESNE,1,Northeast Duschene County,1,Roosevelt Area,168,Roosevelt Area,Balance of Duchesne
13025,25,24.6,55.4,2.25,5.5,0.0,5.5,0.0,20.8,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,10.7,0.0,3.1,1.5,0,0,0,0,71193,0,0,0,0,13,DUCHESNE,1,Northeast Duschene County,1,Roosevelt Area,168,Roosevelt Area,Balance of Duchesne
13026,26,39.4,116.8,2.97,43.9,0.0,0.0,43.9,70.7,0.0,0.0,0.0,0.0,1.6,0.0,0.0,42.3,21.4,0.0,3.1,2.4,0,0,0,0,71193,0,0,0,0,13,DUCHESNE,1,Northeast Duschene County,1,Roosevelt Area,168,Roosevelt Area,Balance of Duchesne
13027,27,21.7,70.5,3.25,0.0,0.0,0.0,0.0,25.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.4,0.0,3.1,1.3,0,0,0,0,71193,0,0,0,0,13,DUCHESNE,1,Northeast Duschene County,1,Roosevelt Area,168,Roosevelt Area,Balance of Duchesne
13028,28,94.5,275.9,2.92,7.8,0.0,7.8,0.0,35.8,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,10.7,5.4,6.1,5.8,0,0,0,0,71193,0,0,0,0,13,DUCHESNE,1,Northeast Duschene County,1,Roosevelt Area,168,Roosevelt Area,Balance of Duchesne
13029,29,9.8,52.4,5.32,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.6,0,0,0,0,71193,0,0,0,0,13,DUCHESNE,1,Northeast Duschene County,1,Roosevelt Area,168,Roosevelt Area,Balance of Duchesne
13030,30,48.3,115.8,2.40,43.1,1.4,0.0,41.7,71.7,0.0,1.4,0.0,0.0,0.0,0.0,0.0,41.7,10.7,11.8,3.1,3.0,0,0,0,0,69968,0,0,0,0,13,DUCHESNE,1,Northeast Duschene County,1,Roosevelt Area,168,Roosevelt Area,Balance of Duchesne
13031,31,51.2,230.6,4.50,0.0,0.0,0.0,0.0,40.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,23.6,3.1,3.2,0,0,0,0,69968,0,0,0,0,13,DUCHESNE,1,Northeast Duschene County,1,Roosevelt Area,168,Roosevelt Area,Balance of Duchesne
13032,32,23.6,51.4,2.17,0.0,0.0,0.0,0.0,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,0.0,3.1,1.5,0,0,0,0,69968,0,0,0,0,13,DUCHESNE,1,Northeast Duschene County,1,Roosevelt Area,168,Roosevelt Area,Balance of Duchesne
13033,33,116.2,393.7,3.39,38.2,0.0,1.3,36.9,86.8,0.0,0.0,0.0,1.3,1.6,0.0,0.9,34.4,32.2,0.0,9.2,7.2,0,0,0,0,69968,0,0,0,0,13,DUCHESNE,1,Northeast Duschene County,1,Roosevelt Area,168,Roosevelt Area,Balance of Duchesne
13034,34,75.8,176.2,2.32,0.0,0.0,0.0,0.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,6.1,4.7,0,0,0,0,70752,0,0,0,0,13,DUCHESNE,1,Northeast Duschene County,1,Roosevelt Area,168,Roosevelt Area,Balance of Duchesne
